symbol,company,last.sale.price,market.cap,country,ipo.year,industry
A,Agilent Technologies Inc. Common Stock,160.65,48516428038,United States,1999,Electrical Products
AA,Alcoa Corporation Common Stock,59.63,11156960656,,2016,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,9.74,1217500000,,2021,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),3.5,110177967,United States,NA,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00%,24.61,NA,United States,NA,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.36,NA,United States,NA,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,25.06,0,United States,NA,
AAN,Aarons Holdings Company Inc. Common Stock,24.79,780469693,United States,2020,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,241.03,15029468312,United States,NA,Other Specialty Stores
AAQC,Accelerate Acquisition Corp. Class A Common Stock,9.72,486000000,,2021,
AAT,American Assets Trust Inc. Common Stock,36.76,2222953109,United States,2011,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,48.76,4815252256,United States,NA,Investment Managers
ABB,ABB Ltd Common Stock,38.65,77029450000,Switzerland,NA,Electrical Products
ABBV,AbbVie Inc. Common Stock,135.36,239300299742,United States,2012,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,133.34,27752502356,United States,NA,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2.71,42650725524,,2013,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,169,3909933976,United States,2002,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,40.59,2732436768,United States,NA,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,18.49,2782850171,United States,2004,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,25.3,NA,United States,NA,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,25.14,NA,United States,NA,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,25.35,NA,United States,NA,
ABT,Abbott Laboratories Common Stock,141.19,249664437153,United States,NA,Medical/Dental Instruments
AC,Associated Capital Group Inc. Common Stock,44.6,983790680,United States,2015,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock,52.94,2558573206,,2018,Engineering & Construction
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,9.9,222007500,,2021,
ACC,American Campus Communities Inc Common Stock,56.93,7922189280,United States,2004,Real Estate Investment Trusts
ACCO,Acco Brands Corporation Common Stock,8.3,794566163,United States,NA,Advertising
ACEL,Accel Entertainment Inc.,13.09,1231339373,United States,2017,Recreational Products/Toys
ACH,Aluminum Corporation of China Limited American Depositary Shares,13.53,9212670601,China,2001,Aluminum
ACHR,Archer Aviation Inc. Class A Common Stock,6.46,1533156929,United States,2020,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,30.05,14037103245,United States,2020,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,9.73,419606250,,2021,
ACM,AECOM Common Stock,77.03,10953838855,United States,2007,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),415.42,262545745749,Ireland,2001,EDP Services
ACP,Aberdeen Income Credit Strategies Fund Common Shares,10.19,177680391,United States,2011,Investment Managers
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,26.89,NA,United States,NA,
