symbol,company,identifier,sedol,weight,sector,shares_held,local_currency
AAPL,Apple Inc.,03783310,2046251,0.06928062705128693,Information Technology,173194190,USD
MSFT,Microsoft Corporation,59491810,2588173,0.06337822080797455,Information Technology,83431944,USD
AMZN,Amazon.com Inc.,02313510,2000019,0.03648336670060061,Consumer Discretionary,4846751,USD
TSLA,Tesla Inc,88160R10,B616C79,0.02193551483926711,Consumer Discretionary,9039488,USD
GOOGL,Alphabet Inc. Class A,02079K30,BYVY8G0,0.02193440481928675,Communication Services,3342705,USD
GOOG,Alphabet Inc. Class C,02079K10,BYY88Y7,0.020409567372212698,Communication Services,3107018,USD
FB,Meta Platforms Inc. Class A,30303M10,B7TL820,0.020191803452462142,Communication Services,26294360,USD
NVDA,NVIDIA Corporation,67066G10,2379504,0.019070363266538798,Information Technology,27781648,USD
BRK.B,Berkshire Hathaway Inc. Class B,08467070,2073390,0.013392111057999043,Financials,20350028,USD
UNH,UnitedHealth Group Incorporated,91324P10,2917766,0.011596788742197361,Health Care,10466262,USD
JPM,JPMorgan Chase & Co.,46625H10,2190385,0.011521057379032824,Financials,32838648,USD
JNJ,Johnson & Johnson,47816010,2475833,0.011010598190767435,Health Care,29254670,USD
HD,Home Depot Inc.,43707610,2434209,0.0105120392167059,Consumer Discretionary,11727307,USD
PG,Procter & Gamble Company,74271810,2704407,0.009665193973491523,Consumer Staples,26900812,USD
V,Visa Inc. Class A,92826C83,B2PZN04,0.008996191931454766,Information Technology,18635008,USD
PFE,Pfizer Inc.,71708110,2684703,0.008190857435433838,Health Care,62373080,USD
BAC,Bank of America Corp,06050510,2295677,0.00792401263222738,Financials,80022190,USD
MA,Mastercard Incorporated Class A,57636Q10,B121557,0.0077161188901400226,Information Technology,9654101,USD
DIS,Walt Disney Company,25468710,2270726,0.006844323197817561,Communication Services,20192808,USD
AVGO,Broadcom Inc.,11135F10,BDZ78H9,0.0068416031488566795,Information Technology,4574118,USD
ADBE,Adobe Inc.,00724F10,2008154,0.006765651781732071,Information Technology,5279729,USD
NFLX,Netflix Inc.,64110L10,2857817,0.0066946005028090515,Communication Services,4922308,USD
CSCO,Cisco Systems Inc.,17275R10,2198163,0.0065935186833363,Information Technology,46868452,USD
ACN,Accenture Plc Class A,G1151C10,B4BNMY3,0.006474546541837753,Information Technology,7027581,USD
XOM,Exxon Mobil Corporation,30231G10,2326618,0.006458726257072628,Energy,47045290,USD
TMO,Thermo Fisher Scientific Inc.,88355610,2886907,0.006432285781144061,Health Care,4378840,USD
CRM,salesforce.com inc.,79466L30,2310525,0.006233652205739703,Information Technology,10879471,USD
ABT,Abbott Laboratories,00282410,2002305,0.006164940968937441,Health Care,19646468,USD
